Frequency,Vin,Vout,Phase,Gain,Phase2
1,500,31.02,-90,0.06204,-90
2,500,69,-91,0.138,-91
3,500,106,-92,0.212,-92
4,500,141,-93,0.282,-93
5,500,177,-94,0.354,-94
6,500,213,-95,0.426,-95
7,500,248,-95,0.496,-95
8,500,282,-96,0.564,-96
9,500,317,-97,0.634,-97
10,500,352,-97,0.704,-97
20,500,678,-105,1.356,-105
30,500,978,-109,1.956,-109
40,500,1239,-117,2.478,-117
50,500,1454,-124,2.908,-124
60,500,1645,-128,3.29,-128
70,500,1809,-131,3.618,-131
80,500,1936,-137,3.872,-137
90,500,2045,-138,4.09,-138
100,500,2140,-143,4.28,-143
200,500,2558,-161,5.116,-161
300,500,2659,-167,5.318,-167
400,500,2697,-171,5.394,-171
500,500,2714,-173,5.428,-173
600,500,2723,-175,5.446,-175
700,500,2729,-176,5.458,-176
800,500,2731,-177,5.462,-177
900,500,2735,-172,5.47,-172
1000,500,2737,-177,5.474,-177
2000,500,2722,-179,5.444,-179
3000,500,2702,180,5.404,-180
4000,500,2681,-179,5.362,-179
5000,500,2664,180,5.328,-180
6000,500,2643,178,5.286,-182
7000,500,2631,178,5.262,-182
8000,500,2621,180,5.242,-180
9000,500,2612,-178,5.224,-178
10000,500,2600,179,5.2,-181
20000,500,2566,179,5.132,-181
30000,500,2548,178,5.096,-182
40000,500,2547,177,5.094,-183
50000,500,2541,177,5.082,-183
60000,500,2543,177,5.086,-183
70000,500,2539,177,5.078,-183
80000,500,2549,176,5.098,-184
90000,500,2549,-178,5.098,-178
100000,500,2546,176,5.092,-184
200000,500,2627,177,5.254,-183
300000,500,2615,176,5.23,-184
400000,500,2611,175,5.222,-185
500000,500,2615,173,5.23,-187
600000,500,2615,172,5.23,-188
700000,500,2599,171,5.198,-189
800000,500,2640,176,5.28,-184
900000,500,2660,168,5.32,-192
1000000,500,2640,166,5.28,-194
2000000,500,2640,156,5.28,-204
3000000,500,2440,152,4.88,-208
4000000,500,2280,145,4.56,-215
5000000,500,2160,140,4.32,-220
6000000,500,2040,130,4.08,-230
7000000,500,1920,131,3.84,-229
8000000,500,1800,121,3.6,-239
9000000,500,1680,124,3.36,-236
10000000,500,1560,112,3.12,-248
20000000,500,900,98,1.8,-262
30000000,500,780,92,1.56,-268
40000000,500,740,78,1.48,-282
50000000,500,664,56,1.328,-304
60000000,500,920,58,1.84,-302
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
